ID,Ordinal by runoff (prefer pre-dam),LATITUDE,LONGITUDE,RiverName,Country,Ocean,"Area, 10^3 km^2","Area, km^2",Length,Max_Elev,Elev_cat,Climate_T,Climate_R,Climate_S,Climate_Cd,Q_preferPredam (km^3/yr),Q_preferPredam (m^3/s),Q,PreDam_Q,Runoff,Runoff_preferPredam,TSS,PD_TSS,SedYield,SedConc,TDS,PD_TDS,DisYield,DisConc,"Arid Q (m^3/s), prefer predam","Subarid Q (m^3/s), prefer predam","Humid Q (m^3/s), prefer predam","Wet Q (m^3/s), prefer predam",VARIABLES FOR AREA PREDCITION and other metrics,COEFFICIENTS,Predicted  area using M&S2007,Error using M&S2007,,Predicted using this method,Error using this method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,19,34.96621000,-120.64076000,Santa Maria,USA,Pacific,4.50,4500.00,,2500,Mountain,STr,A,W,STr-A-W,0.026,0.8239078796,0.03,,5.78,5.78,0.93,,0.21,35769.23,,,,,0.8239078796,,,,Humid r^2,0.9612,19.9996198706,0.00444436,,1060.2316935545,0.235607043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,20,28.78761000,-111.85543000,Sonora,Mexico,Gulf of California,29.00,29000.00,375,2600,Mountain,Tr,A,S,Tr-A-S,0.17,5.387089982,0.17,,5.86,5.86,,,,,,,,,5.387089982,,,,Wet k,0.0873,209.1058620445,0.007210547,,6199.1158430313,0.2137626153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,21,28.83551000,-111.97278000,Bacavachio,Mexico,Pacific,6.80,6800.00,150,2100,Mountain,Tr,A,S,Tr-A-S,0.04,1.267550584,0.04,,5.88,5.88,,,,,,,,,1.267550584,,,,Wet k,0.9164,34.2673125194,0.0050393107,,1589.8269324077,0.2337980783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,22,14.04516000,48.67969000,Wadi Hajir,Yemen,Arabian Sea,8.30,8300.00,170,>1000,Mountain,STr,A,D,STr-A-D,0.05,1.58443823,0.05,,6.02,6.02,,,,,,,,,1.58443823,,,,Wet r^2,0.099,45.2915894167,0.005456818,,1961.058955982,0.2362721634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,23,28.69888000,-11.16470000,Draa,Morroco,Atlantic,114.00,114000.00,1100,>1500,Mountain,STr,A,W,STr-A-W,0.8,25.35101168,0.40,0.80,3.51,7.02,14,,0.12,35000.00,,,,,25.35101168,,,,,,1449.3308613336,0.0127134286,,26602.8023255285,0.2333579151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,24,-30.85000000,17.56700000,Groen,South Africa,Atlantic,4.70,4700.00,110,1200,Mountain,STr,A,D,STr-A-D,0.034,1.0774179964,0.03,,7.23,7.23,,,,,,,,,1.0774179964,,,,Values for making 1:1-line,,27.9675035912,0.0059505327,,1364.4907099755,0.2903171723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,25,-32.06874000,115.65679000,Swan,Australia,Indian,120.00,120000.00,390,470,Lowland,STr,A,W,STr-A-W,0.88,27.886112848,0.88,,7.33,7.33,,,,,,,,,27.886112848,,,,1,1,1632.7075326147,0.0136058961,,29097.5148058601,0.24247929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,26,18.87806000,41.15994000,Wadi Yiba,Saudi Arabia,Red Sea,2.70,2700.00,99,1500,Mountain,STr,A,D,STr-A-D,0.02,0.633775292,0.02,,7.41,7.41,,,,,,,,,0.633775292,,,,10000000000,10000000000,14.407630129,0.0053361593,,828.4010974419,0.3068152213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,27,-24.91060000,113.45800000,Gascoyne,Australia,Indian,79.00,79000.00,760,700,Upland,STr,A,S,STr-A-S,0.6,19.01325876,0.60,,7.59,7.59,,,,,,,,,19.01325876,,,,,,1011.5657565028,0.0128046298,,20296.7479942476,0.2569208607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,28,27.96880000,-110.82156000,Guaymas,Mexico,Gulf of California,5.20,5200.00,,1700,Mountain,Tr,A,S,Tr-A-S,0.04,1.267550584,0.04,,7.69,7.69,,,,,,,,,1.267550584,,,,Count,,34.2673125194,0.0065898678,,1589.8269324077,0.3057359485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,29,25.34609000,65.63200000,Hingol,Pakistan,Arabian Sea,32.00,32000.00,560,2100,Mountain,STr,A,S,STr-A-S,0.26,8.239078796,0.26,,8.13,8.13,,,,,,,,,8.239078796,,,,Arid,196,355.6491222444,0.0111140351,,9244.1958015935,0.2888811188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,30,-33.55670000,27.16588000,Great Fish,South Africa,Indian,30.00,30000.00,640,2500,Mountain,STr,A,D,STr-A-D,0.25,7.92219115,0.25,,8.33,8.33,,,,,,,,,7.92219115,,,,Subarid,249,338.633615169,0.0112877872,,8909.4279310742,0.296980931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,31,-21.55030000,114.96700000,Ashburton,Australia,Indian,71.00,71000.00,800,1000,Mountain,STr,A,S,STr-A-S,0.6,19.01325876,0.60,,8.45,8.45,,,,,,,,,19.01325876,,,,Humid,429,1011.5657565028,0.014247405,,20296.7479942476,0.2858696901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,32,32.96600000,-117.26900000,San Dieguito,USA,Pacific,0.90,900.00,90,1700,Mountain,STr,A,W,STr-A-W,0.008,0.2535101168,0.00,0.01,2.22,8.89,0.015,0.17,0.02,7500.00,,,,,0.2535101168,,,,Wet,381,4.583186605,0.0050924296,,349.9376579932,0.38881962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,33,32.55106000,-117.12431000,Tijuana,USA,Pacific,4.50,4500.00,190,1100,Mountain,STr,A,D,STr-A-D,0.04,1.267550584,0.04,,8.89,8.89,0.47,,0.10,11750.00,,,,,1.267550584,,,,Sum,1255,34.2673125194,0.0076149583,,1589.8269324077,0.3532948739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,34,14.02890000,47.93227000,Wadi Maifa'ah,Yemen,Arabian Sea,8.60,8600.00,,>1000,Mountain,STr,A,D,STr-A-D,0.08,2.535101168,0.08,,9.30,9.30,,,,,,,,,2.535101168,,,,,,81.5018637202,0.0094769609,,3051.1182117139,0.3547811874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,35,36.76359000,10.29663000,Miliane,Tunisia,Mediterranean,2.00,2000.00,130,>200,Lowland,STr,A,D,STr-A-D,0.02,0.633775292,0.02,,10.00,10.00,0.9,,0.45,45000.00,,,,,0.633775292,,,,Proportion,,14.407630129,0.0072038151,,828.4010974419,0.4142005487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,36,-50.94124000,-69.18845000,Coig,Argentina,Atlantic,15.00,15000.00,250,>500,Upland,Te,SA,Sp,Te-SA-Sp,0.15,4.75331469,0.15,,10.00,10.00,0.02,,0.00,133.33,,,,,4.75331469,,,,Arid,16%,178.8212515098,0.0119214168,,5510.7167753727,0.3673811184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,37,-47.78863000,-65.89749000,Deseado,Argentina,Atlantic,14.00,14000.00,610,>1000,Mountain,Te,A,Sp,Te-A-Sp,0.15,4.75331469,0.15,,10.71,10.71,0.5,,0.04,3333.33,0.05,,0.0035714286, 333.33 ,4.75331469,,,,Subarid,20%,178.8212515098,0.0127729465,,5510.7167753727,0.3936226268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,38,27.15564000,35.79554000,Wadi Damā,Saudi Arabia,Red Sea,5.50,5500.00,,1300,Mountain,STr,A,D,STr-A-D,0.06,1.901325876,0.06,,10.91,10.91,,,,,,,,,1.901325876,,,,Humid,34%,56.8845228029,0.0103426405,,2327.8666918631,0.4232484894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,39,13.42412000,46.69078000,Wadi Ahwar,Yemen,Arabian Sea,6.40,6400.00,,>560,Upland,STr,A,D,STr-A-D,0.07,2.218213522,0.07,,10.94,10.94,,,,,,,,,2.218213522,,,,Wet,30%,68.9727601997,0.0107769938,,2691.0356009475,0.4204743126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,40,-28.62396000,16.46736000,Orange,South Africa,Atlantic,1000.00,1000000.00,2200,3000,High Mountain,STr,A,S,STr-A-S,11,348.5764106,4.50,11.00,4.50,11.00,17,89,0.02,3777.78,2.8,,0.0028, 622.22 ,348.5764106,,,,Sum,100%,38374.7812328524,0.0383747812,,312942.862988365,0.312942863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,41,13.13290000,45.46091000,Wadi Hassan,Yemen,Arabian Sea,3.50,3500.00,,<500,Lowland,STr,A,D,STr-A-D,0.04,1.267550584,0.04,,11.43,11.43,,,,,,,,,1.267550584,,,,,,34.2673125194,0.0097906607,,1589.8269324077,0.4542362664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,42,22.15715600,39.03149500,Wadi Khulays,Saudi Arabia,Red Sea,5.20,5200.00,,,,STr,A,D,STr-A-D,0.06,1.901325876,0.06,,11.54,11.54,,,,,,,,,1.901325876,,,,Median error S&M07,,56.8845228029,0.0109393313,,2327.8666918631,0.4476666715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,43,22.84922000,38.94869000,Wadi Rābigh,Saudi Arabia,Red Sea,5.00,5000.00,,500,Upland,STr,A,D,STr-A-D,0.06,1.901325876,0.06,,12.00,12.00,,,,,,,,,1.901325876,,,,Arid,0.06,56.8845228029,0.0113769046,,2327.8666918631,0.4655733384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,44,32.75435000,-117.25473000,San Diego,USA,Pacific,1.10,1100.00,70,2100,Mountain,STr,A,W,STr-A-W,0.014,0.4436427044,0.01,,12.73,12.73,0.025,0.1,0.02,1785.71,,,,,0.4436427044,,,,Subarid,0.39,9.2249729382,0.008386339,,592.3252881028,0.5384775346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,45,-3.38499000,-39.06768000,Curu,Brazil,Atlantic,7.50,7500.00,,,,Tr,A,S,Tr-A-S,0.1,3.16887646,0.10,,13.33,13.33,,,,,,,,,3.16887646,,,,Humid,1.23,107.7221607682,0.0143629548,,3763.5685827638,0.5018091444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,46,-27.31361000,-70.93468000,Copiapo,Chile,Pacific,5.10,5100.00,170,>3000,High Mountain,Te,A,W,Te-A-W,0.07,2.218213522,0.07,,13.73,13.73,,,,,,,,,2.218213522,,,,Wet,3.91,68.9727601997,0.0135240706,,2691.0356009475,0.5276540394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,47,-10.43520000,40.50556000,Rovuma,Mozambique,Indian,160.00,160000.00,640,1600,Mountain,Tr,A,S,Tr-A-S,2.2,69.71528212,2.20,,13.75,13.75,,,,,,,,,69.71528212,,,,,,5132.5525810123,0.0320784536,,68882.0212612673,0.4305126329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,48,33.38532000,-117.59661000,San Mateo,USA,Pacific,0.34,340.00,,>500,Upland,STr,A,W,STr-A-W,0.005,0.158443823,0.01,,14.71,14.71,,,,,,,,,0.158443823,,,,Median error this,,2.5469332413,0.0074909801,,224.9170076755,0.6615206108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,49,-34.35192000,21.89744000,Gourtis,South Africa,Indian,45.00,45000.00,310,1500,Mountain,STr,A,D,STr-A-D,0.67,21.231472282,0.67,,14.89,14.89,,,,,,,,,21.231472282,,,,Arid,1.39,1161.1773599627,0.0258039413,,22516.3009034507,0.5003622423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,50,-19.87220000,119.12990000,DeGrey,Australia,Indian,67.00,67000.00,310,700,Upland,STr,A,S,STr-A-S,1,31.6887646,1.00,,14.93,14.93,,,,,,,,,31.6887646,,,,Subarid,1.05,1915.6010049897,0.0285910598,,32814.6810770717,0.4897713594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,51,-35.75177000,-57.35914000,Salado,Argentina,Atlantic,40.00,40000.00,640,>100,Lowland,Te,A,Sp,Te-A-Sp,0.6,19.01325876,0.60,,15.00,15.00,,,,,,,,,19.01325876,,,,Humid,1.04,1011.5657565028,0.0252891439,,20296.7479942476,0.5074186999,,,,,Fig 2a - Actual vs estimated catchment size,,,,,,,,,,,,,Fig 2b - Actual vs estimated catchment size,,,,,,,,,,,,,Fig 2c- Actual vs estimated catchment size,,,,,,,,,,,,
808,52,36.71821100,-3.55319200,Guadalfeo,Spain,Mediterranean,1.30,1300.00,72,3200,High Mountain,Te,SA,W,Te-SA-W,0.02,0.633775292,0.02,,15.38,15.38,0.08,,0.06,4000.00,,,,,0.633775292,,,,Wet,0.93,14.407630129,0.0110827924,,828.4010974419,0.6372316134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,53,12.78810000,44.94861000,Wadi Tuban,Yemen,Arabian Sea,6.50,6500.00,,<1000,Upland,STr,A,D,STr-A-D,0.1,3.16887646,0.10,,15.38,15.38,2.8,,0.43,28000.00,,,,,3.16887646,,,,,,107.7221607682,0.0165726401,,3763.5685827638,0.5790105512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,54,30.53300000,-113.03300000,Concepción,Mexico,Gulf of California,25.00,25000.00,,>200,Lowland,Tr,A,S,Tr-A-S,0.4,12.67550584,0.40,,16.00,16.00,,,,,,,,,12.67550584,,,,,,609.368562906,0.0243747425,,13861.7545043872,0.5544701802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,55,20.15042000,40.24227000,Wadi al Lith,Saudi Arabia,Red Sea,3.00,3000.00,98,,,STr,A,D,STr-A-D,0.05,1.58443823,0.05,,16.67,16.67,,,,,,,,,1.58443823,,,,,,45.2915894167,0.0150971965,,1961.058955982,0.6536863187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,56,27.79793000,-97.28930000,Nueces,USA,Gulf of Mexico,43.00,43000.00,510,730,Upland,STr,A,SP,STr-A-SP,0.72,22.815910512,0.72,,16.74,16.74,0.71,,0.02,986.11,0.18,,0.0041860465, 250.00 ,22.815910512,,,,,,1270.4883198739,0.02954624,,24093.1683694783,0.5603062412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,57,-17.62954000,-71.35620000,Moquegua,Peru,Pacific,3.40,3400.00,120,>4000,High Mountain,STr,A,S,STr-A-S,0.06,1.901325876,0.06,,17.65,17.65,,,,,,,,,1.901325876,,,,,,56.8845228029,0.016730742,,2327.8666918631,0.6846666741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,58,-33.98606000,25.02891000,Gamtoos,South Africa,Indian,34.00,34000.00,640,2200,Mountain,STr,A,S,STr-A-S,0.6,19.01325876,0.60,,17.65,17.65,,,,,,,,,19.01325876,,,,,,1011.5657565028,0.029751934,,20296.7479942476,0.5969631763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,59,-18.30935000,-70.44829000,Caplina,Peru,Pacific,2.20,2200.00,110,6400,High Mountain,STr,A,S,STr-A-S,0.04,1.267550584,0.04,,18.18,18.18,,,,,,,,,1.267550584,,,,,,34.2673125194,0.0155760511,,1589.8269324077,0.7226486056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,60,15.74640000,42.74382000,Wadi Mawr,Yemen,Red Sea,8.00,8000.00,300,2000,Mountain,STr,A,D,STr-A-D,0.15,4.75331469,0.15,,18.75,18.75,,,,,,,,,4.75331469,,,,,,178.8212515098,0.0223526564,,5510.7167753727,0.6888395969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,61,30.34884000,-9.61603000,Souss,Morroco,Atlantic,16.00,16000.00,230,2700,Mountain,STr,A,W,STr-A-W,0.31,9.823517026,0.31,,19.38,19.38,4.2,,0.26,13548.39,0.03,,0.001875, 96.77 ,9.823517026,,,,,,443.1055334756,0.0276940958,,10907.1166418239,0.6816947901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,62,18.56933000,41.29251000,Wadi Hali,Saudi Arabia,Red Sea,4.50,4500.00,120,2500,Mountain,STr,A,D,STr-A-D,0.09,2.851988814,0.09,,20.00,20.00,,,,,,,,,2.851988814,,,,z,,94.4296093451,0.0209843576,,3408.5240504003,0.757449789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,63,-12.50930000,40.61807000,Montepuez,Mozambique,Indian,9.50,9500.00,320,>500,Upland,Tr,A,S,Tr-A-S,0.19,6.020865274,0.19,,20.00,20.00,,,,,,,,,6.020865274,,,,,,240.2962854312,0.0252943458,,6882.6989606352,0.7244946274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,64,14.68768000,42.97529000,Wadi Siham,Yemen,Red Sea,4.90,4900.00,,>1000,Mountain,STr,A,D,STr-A-D,0.1,3.16887646,0.10,,20.41,20.41,2.8,,0.57,28000.00,,,,,3.16887646,,,,,,107.7221607682,0.0219841144,,3763.5685827638,0.768075221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,65,25.98300000,-97.13300000,Rio Grande,USA,Gulf of Mexico,870.00,870000.00,3000,4200,High Mountain,STr,A,SP,STr-A-SP,18,570.3977628,0.70,18.00,0.80,20.69,0.66,20,0.00,942.86,0.57,2.2,0.0006551724, 814.29 ,570.3977628,,,,,,71022.4561964363,0.0816350071,,497292.894002814,0.5716010276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,66,-28.45383000,-71.20572000,Huasco,Chile,Pacific,7.20,7200.00,150,5900,High Mountain,Te,A,W,Te-A-W,0.15,4.75331469,0.15,,20.83,20.83,,,,,,,,,4.75331469,,,,,,178.8212515098,0.0248362849,,5510.7167753727,0.7653773299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,67,-0.25000000,42.66700000,Shebelle,Somalia,Indian,810.00,810000.00,1600,>3000,High Mountain,Tr,A,W,Tr-A-W,17,538.7089982,17.00,,20.99,20.99,,,,,5.7,,0.007037037, 335.29 ,538.7089982,,,,,,66125.0796153666,0.0816359008,,471266.380163098,0.5818103459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,68,33.22774000,-117.41649000,Santa Margarita,USA,Pacific,1.90,1900.00,80,2200,Mountain,STr,A,W,STr-A-W,0.04,1.267550584,0.03,0.04,13.16,21.05,0.12,,0.06,4800.00,,,,,1.267550584,,,,,,34.2673125194,0.0180354276,,1589.8269324077,0.8367510171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
